ID  объявления,numbers_rooms,area_square,parking,price,repair,balcony,ceilings,comfort_cat,district,walking_dist,bath_comb,bath_sep,loggia,elev_pass,elev_cargo,max_floor,type_house,cur_floor
274453255,1,38,0.5,40000,0.4,0,2.64,0,0.34,1,1,0,1,1,0,9,0.28,5
261103569,1,38,0.5,40000,0.64,1,2.64,0,0.34,1,1,0,0,1,0,17,0.28,16
274758906,1,39,0.5,40000,0.64,1,2.64,0,0.34,1,1,0,0,1,0,17,0.28,8
273456089,3,63,0.5,41000,0.4,1,2.5,0,0.34,0,0,1,0,1,0,12,0.28,4
274048626,1,36,0.5,42000,0.4,1,2.5,0,0.34,1,1,0,0,0,0,16,0.28,5
273639173,2,57,0.5,42000,0.64,0,2.7,0,0.34,0,0,1,1,1,1,20,0.5,14
274943358,1,37,0.5,42000,0.64,0,2.64,0,0.34,0,1,0,1,1,0,20,0.5,9
272423212,2,60,0.5,42000,0.4,0,2.64,0,0.34,1,0,1,1,1,0,9,0.28,5
273947575,1,40,0.5,42000,0.64,0,2.64,0,0.34,1,1,0,1,1,0,17,0.28,6
274556103,2,55,0.5,43000,0.4,0,2.7,0,0.34,0,1,0,1,1,1,25,0.5,15
273868979,1,40,0.5,43000,0.64,1,2.64,0,0.34,0,1,0,0,1,0,17,0.28,4
269040176,1,20,0.5,44000,0.4,0,2.6,0,0.34,1,1,0,0,1,1,16,0.28,14
268173372,2,48,0.5,44000,0.4,1,2.6,0,0.34,1,0,1,0,1,0,9,0.28,1
268567958,2,60,0.5,45000,0.4,0,2.64,0,0.34,1,0,1,1,1,0,17,0.28,14
159964171,2,55,0.5,45000,0.4,1,2.5,0,0.34,1,0,1,0,1,1,12,0.28,8
274930858,2,57,0.5,45000,0.4,1,2.6,0,0.34,1,1,0,0,1,1,12,0.28,9
274109243,2,56,0.5,45000,0.64,0,2.64,0,0.34,0,0,1,0,1,0,12,0.28,2
274408051,2,52,0.5,45000,0.4,0,2.75,0,0.34,1,0,1,1,1,0,12,0.28,9
273842021,1,42,0.5,45000,0.64,0,2.48,0,0.34,1,1,0,1,1,1,16,0.28,6
